"description.string()","type.string()","brand.string()","model.string()","serial.string()","uaz.string()","guard.string()","location.string()","details.string()","funding.string()","rfid.string()"
"Impresora 3D","lab","Colibrí","Colibrí-3D","B17C10230A000313",35000000194,"JFT","Mesa de entrada 1","-","-","id_115"
"Multimetro ","lab","Fluke","3000FC",29650196,3103000189183,"JFT","Mesas antiestáticas","-","FMX","id_116"
"Estación de aire caliente","lab","Steren","CAU-280",24357,"-",,"Mesas antiestáticas","-","-","id_117"
"Extractor de humo","lab","Carejoy","493 ESD","S/S","-",,"Mesas antiestáticas","-","-","id_118"
"PCB Holder","lab","Steren","HER-700","CAJ-HER-700-03GTF","-",,"Mesas antiestáticas","-","-","id_119"
"PCB Holder","lab","Steren","HER-700","CAJ-HER-700-03GTF","-",,"Mesas antiestáticas","-","-","id_120"
"Fuente","lab","Matrix","MPS-3005L-3","DP06041WS","-",,"Mesas antiestáticas","-","-","id_121"
"Mesas antiestáticas","lab","LISTA","LR51943 ","S/S",31010000771,"JFT","Mesas antiestáticas","-","FMX","id_122"
"Pintarrón","lab","S/M","S/M","S/S",44010600021776,,"Área de pintarrones","-","-","id_123"
"Pintarrón","lab","S/M","S/M","S/S",44010600021776,,"Área de pintarrones","-","-","id_124"
"Herramienta multiusos dremel","lab","Dremel","Dremel-4000",504,43020000022,"SID","Mesas antiestáticas","-","FMX","id_125"
"Calibrador ","lab","Keysight","85521A","DE52110405",12000004052,"JFT","Estante 1-nivel 3","-","-","id_126"
"Gabinete de laboratorio","lab","ULINE","H-3594GR","S/S",31030001192,"JFT","Estante 2","-","FMX","id_127"
"Gabinete de laboratorio","lab","ULINE","H-3594GR","S/S",31030001193,"JFT","Estante 1","-","FMX","id_128"
"Extinguidor","lab","ANSUL SENTRY","10 LBS CO2","S/S",3600000023699,"JFT","Área de mesas de trabajo","-","FMX","id_129"
"Extinguidor","lab","ANSUL SENTRY","10 LBS CO2","S/S",3600000023700,"JFT","Área de impresión","-","FMX","id_130"
"Rotafolio","lab","ALFRA","S/M","S/S",440200014248,"JFT","Site","-","-","id_131"
"Gabinete de laboratorio","lab","Tammex","S/M","S/S","NA",,"Estante 3","-",,"id_132"
"Silla giratoria antiestática","lab","Stanley","S/M","S/S",44020001592425,"JFT","Mesas antiestáticas","-","Fomix","id_133"
"Silla giratoria antiestática","lab","Stanley","S/M","S/S",44020001592426,"JFT","Mesas antiestáticas","-","Fomix","id_134"
"Silla giratoria antiestática","lab","Stanley","S/M","S/S",44020001592427,"JFT","Mesas antiestáticas","-","Fomix","id_135"
"Silla giratoria antiestática","lab","Stanley","S/M","S/S",44020001592428,"JFT","Mesas antiestáticas","-","Fomix","id_136"
"Silla giratoria antiestática","lab","Stanley","S/M","S/S",44020001592429,"JFT","Mesas antiestáticas","-","Fomix","id_137"
"Silla giratoria antiestática","lab","Stanley","S/M","S/S",44020001592430,"JFT","Mesas antiestáticas","-","Fomix","id_138"
"Mesa CNC","lab","S/M","S/M","S/S",,,"Mesa de entrada 2","-","-","id_139"
"Mesa blanca larga","lab","S/M","S/M","S/S",44020000952883,"SID","Mesa de entrada 2","-","IR","id_140"
"Gabinete","lab","Treston","S/M","S/S",4401000001372,"JFT","Mesas antiestáticas","-","FMX","id_141"
"Gabinete","lab","Treston","S/M","S/S",4401000001373,"JFT","Mesas antiestáticas","-","FMX","id_142"
"Gabinete","lab","Treston","S/M","S/S",4401000001374,"JFT","Mesas antiestáticas","-","FMX","id_143"
"Gabinete","lab","Treston","S/M","S/S",4401000001375,"JFT","Mesas antiestáticas","-","FMX","id_144"
"Antena ","lab","Ettus","Vert2450","S/S",34010002007,"JFT","Cubículo Dr Viktor ","-","PIFI","id_145"
"Antena ","lab","Ettus","Vert2450","S/S",34010002008,"JFT","Cubículo Dr Viktor ","-","PIFI","id_146"
"Antena ","lab","Ettus","Vert2450","S/S",34010002009,"JFT","Cubículo Dr Viktor ","-","PIFI","id_147"
